,Country,07-11-2020_confirmed,07-11-2020_deaths,07-11-2020_recovered
0,Algeria,18712,1004,13124
1,Angola,462,23,118
2,Benin,1378,26,557
3,Burkina Faso,1033,53,869
4,Cabo Verde,1623,19,748
5,Cameroon,15173,359,11928
6,Central African Republic,4288,53,1145
7,Chad,874,74,790
8,Congo (Brazzaville),2028,47,589
9,Congo (Kinshasa),7971,189,3615
10,Cote d'Ivoire,12443,82,6357
11,Djibouti,4968,56,4689
12,Egypt,81158,3769,23876
13,Equatorial Guinea,3071,51,842
14,Eritrea,232,0,107
15,Eswatini,1311,18,656
16,Ethiopia,7402,124,2430
17,Gabon,5942,46,3004
18,Gambia,64,3,34
19,Ghana,24248,135,19831
20,Guinea,6044,37,4802
21,Kenya,9726,184,2832
22,Liberia,998,47,420
23,Madagascar,4578,34,2287
24,Mauritania,5275,147,2160
25,Mauritius,342,10,330
26,Morocco,15542,245,12065
27,Namibia,668,1,25
28,Niger,1099,68,992
29,Nigeria,31987,724,13103
30,Rwanda,1299,4,663
31,Senegal,8014,145,5381
32,Seychelles,100,0,11
33,Somalia,3051,92,1264
34,South Africa,264184,3971,127715
35,Sudan,10250,650,5341
36,Tanzania,509,21,183
37,Togo,710,15,494
38,Tunisia,1245,50,1076
39,Uganda,1013,0,952
40,Zambia,1895,42,1348
41,Zimbabwe,982,18,320
42,Mozambique,1135,9,349
43,Libya,1389,38,340
44,Guinea-Bissau,1842,26,773
45,Mali,2406,121,1683
46,Botswana,314,1,31
47,Burundi,191,1,118
48,Sierra Leone,1618,63,1141
49,Malawi,2261,33,517
50,South Sudan,2021,38,333
51,Western Sahara,10,1,8
52,Sao Tome and Principe,727,14,284
53,Comoros,317,7,296
54,Lesotho,184,1,26
