,Country,07-13-2020_confirmed,07-13-2020_deaths,07-13-2020_recovered
0,Algeria,19689,1018,14019
1,Angola,525,26,118
2,Benin,1378,26,557
3,Burkina Faso,1036,53,869
4,Cabo Verde,1698,19,748
5,Cameroon,15173,359,11928
6,Central African Republic,4321,53,1208
7,Chad,880,75,792
8,Congo (Brazzaville),2028,47,589
9,Congo (Kinshasa),8075,190,3620
10,Cote d'Ivoire,12872,84,6810
11,Djibouti,4977,56,4729
12,Egypt,83001,3935,24975
13,Equatorial Guinea,3071,51,842
14,Eritrea,232,0,107
15,Eswatini,1389,20,688
16,Ethiopia,7766,128,2430
17,Gabon,6026,46,3475
18,Gambia,64,3,34
19,Ghana,24988,139,21067
20,Guinea,6141,37,4862
21,Kenya,10294,197,2946
22,Liberia,1024,51,439
23,Madagascar,5080,37,2494
24,Mauritania,5446,147,2501
25,Mauritius,342,10,330
26,Morocco,15936,255,12934
27,Namibia,861,1,28
28,Niger,1099,68,992
29,Nigeria,33153,744,13671
30,Rwanda,1378,4,710
31,Senegal,8198,150,5514
32,Seychelles,100,0,11
33,Somalia,3072,93,1343
34,South Africa,287796,4172,138241
35,Sudan,10316,657,5403
36,Tanzania,509,21,183
37,Togo,721,15,517
38,Tunisia,1302,50,1082
39,Uganda,1029,0,977
40,Zambia,1895,42,1412
41,Zimbabwe,1034,19,343
42,Mozambique,1219,9,369
43,Libya,1512,40,367
44,Guinea-Bissau,1842,26,773
45,Mali,2412,121,1730
46,Botswana,399,1,38
47,Burundi,269,1,207
48,Sierra Leone,1642,63,1175
49,Malawi,2430,39,747
50,South Sudan,2148,41,333
51,Western Sahara,10,1,8
52,Sao Tome and Principe,732,14,286
53,Comoros,317,7,296
54,Lesotho,245,3,33
