Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,12-02-2020,796472,21709,734305
Morocco,12-02-2020,364190,5985,314237
Egypt,12-02-2020,116724,6694,102949
Ethiopia,12-02-2020,110984,1715,76067
Tunisia,12-02-2020,99280,3359,73607
Kenya,12-02-2020,85130,1484,56464
Algeria,12-02-2020,85084,2464,54990
Libya,12-02-2020,84087,1200,54712
Nigeria,12-02-2020,67960,1177,63839
Ghana,12-02-2020,51667,323,50547
Cameroon,12-02-2020,24487,441,22177
Uganda,12-02-2020,21409,206,9044
Cote d'Ivoire,12-02-2020,21361,132,21010
Sudan,12-02-2020,18254,1265,10493
Zambia,12-02-2020,17700,357,17086
Madagascar,12-02-2020,17341,251,16657
Senegal,12-02-2020,16173,334,15657
Mozambique,12-02-2020,15866,132,14014
Angola,12-02-2020,15319,351,8139
Namibia,12-02-2020,14477,151,13697
Guinea,12-02-2020,13143,76,12154
Congo (Kinshasa),12-02-2020,12987,336,11694
Cabo Verde,12-02-2020,10867,106,10422
Botswana,12-02-2020,10742,34,7912
Zimbabwe,12-02-2020,10129,277,8643
Gabon,12-02-2020,9239,60,9089
Mauritania,12-02-2020,8863,179,7780
Eswatini,12-02-2020,6455,122,6032
Malawi,12-02-2020,6040,185,5471
Rwanda,12-02-2020,5994,50,5575
Congo (Brazzaville),12-02-2020,5774,94,4988
Djibouti,12-02-2020,5682,61,5587
Equatorial Guinea,12-02-2020,5156,85,5009
Central African Republic,12-02-2020,4918,63,1924
Mali,12-02-2020,4837,161,3263
Somalia,12-02-2020,4525,121,3480
Gambia,12-02-2020,3765,123,3609
South Sudan,12-02-2020,3118,61,2966
Benin,12-02-2020,3055,44,2839
Togo,12-02-2020,3014,65,2543
Burkina Faso,12-02-2020,3010,68,2667
Guinea-Bissau,12-02-2020,2441,44,2327
Sierra Leone,12-02-2020,2416,74,1838
Lesotho,12-02-2020,2142,44,1278
Chad,12-02-2020,1705,102,1539
Niger,12-02-2020,1640,76,1227
Liberia,12-02-2020,1595,83,1343
Sao Tome and Principe,12-02-2020,997,17,934
Burundi,12-02-2020,689,1,575
Comoros,12-02-2020,613,7,586
Eritrea,12-02-2020,577,0,498
Tanzania,12-02-2020,509,21,183
Mauritius,12-02-2020,508,10,465
Seychelles,12-02-2020,183,0,162
Western Sahara,12-02-2020,10,1,8
