Country/Region,Date,Confirmed,Deaths,Recovered,Active,Incidence Rate,Case - Fatality Ratio
South Africa,2020-03-27,1170,1,31,1138,1.972719148864422,0.08547008547008547
Egypt,2020-03-27,536,30,116,390,0.5237750894130982,5.597014925373134
Algeria,2020-03-27,409,26,29,354,0.9327039292148411,6.356968215158925
Morocco,2020-03-27,345,23,11,311,0.9346807184850046,6.666666666666667
Tunisia,2020-03-27,227,6,2,219,1.9206362636432863,2.643171806167401
Burkina Faso,2020-03-27,180,9,12,159,0.8611204133377984,5.0
Ghana,2020-03-27,137,4,2,131,0.4408972419785666,2.9197080291970803
Senegal,2020-03-27,119,0,11,108,0.7107023411371237,0.0
Cote d'Ivoire,2020-03-27,101,0,3,98,0.38289483660626283,0.0
Mauritius,2020-03-27,94,2,0,92,7.3899371069182385,2.127659574468085
Cameroon,2020-03-27,91,2,2,87,0.3428011753183154,2.197802197802198
Nigeria,2020-03-27,70,1,3,66,0.033957504608518485,1.4285714285714286
Rwanda,2020-03-27,54,0,0,54,0.41692402717726995,0.0
Congo (Kinshasa),2020-03-27,51,3,2,46,0.05694442893670236,5.88235294117647
Kenya,2020-03-27,31,1,1,29,0.0576518941436834,3.225806451612903
Madagascar,2020-03-27,26,0,0,26,0.09389332274024051,0.0
Togo,2020-03-27,25,1,1,23,0.3019688368160406,4.0
Uganda,2020-03-27,23,0,0,23,0.05028311580420192,0.0
Zambia,2020-03-27,22,0,0,22,0.1196692776327241,0.0
Ethiopia,2020-03-27,16,0,0,16,0.013917400229637104,0.0
Tanzania,2020-03-27,13,0,1,12,0.02176314996484414,0.0
Equatorial Guinea,2020-03-27,12,0,0,12,0.8553100498930863,0.0
Djibouti,2020-03-27,12,0,0,12,1.214574898785425,0.0
Mali,2020-03-27,11,0,0,11,0.05431830526887561,0.0
Niger,2020-03-27,10,1,0,9,0.04131036477052093,10.0
Eswatini,2020-03-27,9,0,0,9,0.7758620689655172,0.0
Guinea,2020-03-27,8,0,0,8,0.0609152516561334,0.0
Namibia,2020-03-27,8,0,2,6,0.3148366784730421,0.0
Gabon,2020-03-27,7,1,0,6,0.3144654088050315,14.285714285714285
Seychelles,2020-03-27,7,0,0,7,7.142857142857142,0.0
Mozambique,2020-03-27,7,0,0,7,0.022396416573348267,0.0
Eritrea,2020-03-27,6,0,0,6,0.1692047377326565,0.0
Benin,2020-03-27,6,0,0,6,0.04949269982677555,0.0
Zimbabwe,2020-03-27,5,1,0,4,0.03364058400053825,20.0
Cabo Verde,2020-03-27,5,1,0,4,0.8992805755395683,20.0
Congo (Brazzaville),2020-03-27,4,0,0,4,0.07249003262051468,0.0
Angola,2020-03-27,4,0,0,4,0.012170632264346132,0.0
Mauritania,2020-03-27,3,0,0,3,0.06451612903225806,0.0
Central African Republic,2020-03-27,3,0,0,3,0.062111801242236024,0.0
Chad,2020-03-27,3,0,0,3,0.018263728235723854,0.0
Sudan,2020-03-27,3,1,0,2,0.006841661155328514,33.33333333333333
Somalia,2020-03-27,3,0,0,3,0.018876234820361167,0.0
Gambia,2020-03-27,3,1,0,2,0.12412081092263137,33.33333333333333
Liberia,2020-03-27,3,0,0,3,0.05931198102016608,0.0
Guinea-Bissau,2020-03-27,2,0,0,2,0.10162601626016261,0.0
Libya,2020-03-27,1,0,0,1,0.014553922282055013,0.0
Sierra Leone,2020-03-27,0,0,0,0,0.0,
Malawi,2020-03-27,0,0,0,0,0.0,
Comoros,2020-03-27,0,0,0,0,0.0,
South Sudan,2020-03-27,0,0,0,0,0.0,
Sao Tome and Principe,2020-03-27,0,0,0,0,0.0,
Lesotho,2020-03-27,0,0,0,0,0.0,
Burundi,2020-03-27,0,0,0,0,0.0,
Botswana,2020-03-27,0,0,0,0,0.0,
