Country/Region,Date,Confirmed,Deaths,Recovered,Active,Confirmed (New),Deaths (New),Recovered (New),Incidence Rate,Case - Fatality Ratio,Lat,Lon
South Africa,2021-03-13,1528414,51261,1452988,24165,1541,82,3334,2577.035525805527,3.353868781625921,-30.5595,22.9375
Morocco,2021-03-13,488632,8718,475457,4457,451,2,519,1323.8113299558397,1.7841647702156225,31.7917,-7.0926
Tunisia,2021-03-13,241257,8359,207364,25534,640,30,501,2041.2640663338693,3.464769934136626,33.886917,9.537499
Egypt,2021-03-13,190280,11256,146803,32221,641,42,369,185.9401567416499,5.915492957746479,26.820553000000004,30.802497999999996
Ethiopia,2021-03-13,174054,2540,142041,29473,1483,30,846,151.39869872307855,1.459317223390442,9.145,40.4897
Nigeria,2021-03-13,160537,2013,144714,13810,205,4,655,77.87765596196759,1.2539165426038856,9.082,8.6753
Libya,2021-03-13,143643,2348,130625,10670,0,0,0,2090.5690583612286,1.6346080212749663,26.3351,17.228331
Algeria,2021-03-13,115143,3034,79783,32326,135,3,111,262.57782034617225,2.634984323840789,28.0339,1.6596
Kenya,2021-03-13,112805,1908,88326,22571,870,7,117,209.78780383478082,1.6914143876601215,-0.0236,37.9062
Ghana,2021-03-13,87480,679,82807,3994,743,23,1508,281.5305892575548,0.7761774119798811,7.9465,-1.0232
Zambia,2021-03-13,84474,1153,80599,2722,234,4,137,459.49738903394257,1.364917015886545,-13.133897,27.849332
Mozambique,2021-03-13,64296,722,49814,13760,292,3,876,205.7142857142857,1.1229314420803782,-18.665695,35.529562
Namibia,2021-03-13,41025,458,38264,2303,215,2,47,1614.5218417945691,1.1163924436319317,-22.9576,18.4904
Cameroon,2021-03-13,40622,601,35261,4760,0,0,0,153.02493784374295,1.4794938703165772,3.8480000000000003,11.5021
Uganda,2021-03-13,40544,334,15095,25115,0,0,0,88.63820205067664,0.8237963693764798,1.373333,32.290275
Cote d'Ivoire,2021-03-13,37304,211,33603,3490,480,0,336,141.42088103722799,0.5656229894917435,7.54,-5.5471
Senegal,2021-03-13,36726,955,32233,3538,157,4,256,219.33827042522697,2.600337635462615,14.4974,-14.4524
